16.265;-61.551;44039;203;176;13;0.009458756
-12.8275;45.166244;44039;2900;2672;190;0.025673767
-20.904305;165.618042;44039;22;22;0;0
-21.1151;55.5364;44039;657;592;61;0.002702502
17.9;-62.8333;44039;7;6;1;0
18.0708;-63.0501;44039;49;41;5;0.002026876
14.6415;-61.0242;44039;269;98;156;0.010134382
46.2276;2.2137;44039;208665;71497;107072;20.33362385
-0.8037;11.6094;44039;7189;4682;2458;0.033105648
13.4432;-15.3101;44039;326;66;252;0.005405004
42.3154;43.3569;44039;1137;922;199;0.010810007
51.165691;10.451526;44039;207112;190314;7673;6.165082325
7.9465;-1.0232;44039;33624;29801;3655;0.113505077
39.0742;21.8243;44039;4227;1374;2651;0.136476343
15.7835;-90.2308;44039;45309;32455;11093;1.189776436
9.9456;-9.6966;44039;7055;6257;753;0.030403146
4.860416;-58.93018;44039;389;181;188;0.013512509
18.9712;-72.2852;44039;7340;4365;2817;0.106748823
41.9029;12.4534;44039;12;12;0;0
15.2;-86.2419;44039;39741;5039;33536;0.787779287
47.1625;19.5033;44039;4448;3329;523;0.402672774
64.9631;-19.0208;44039;1854;1823;21;0.006756255
20.593684;78.96288;44039;1480073;951166;495499;22.57129538
-0.7893;113.9213;44039;100303;58173;37292;3.268675977
32.427908;53.688046;44039;293606;255144;22550;10.75055232
33.223191;43.679291;44039;112585;77144;30983;3.011938302
53.1424;-7.6921;44039;25892;23364;764;1.191803312
31.046051;34.851612;44039;63985;27133;36378;0.320246468
41.87194;12.56738;44039;246286;198593;12581;23.72256116
18.1096;-77.2975;44039;853;714;129;0.006756255
36.204824;138.252924;44039;31142;21970;8174;0.674274209
31.24;36.51;44039;1176;1041;124;0.00743188
48.0196;66.9237;44039;84648;54404;29659;0.395240894
-0.0236;37.9062;44039;17975;7833;9857;0.192553256
35.907757;127.766922;44039;14203;13007;896;0.202687638
29.31166;47.481766;44039;64379;55057;8884;0.295923952
41.20438;74.766098;44039;33296;21205;10790;0.878988724
56.8796;24.6032;44039;1219;1045;143;0.020944389
33.8547;35.8623;44039;3882;1709;2122;0.034456898
6.428055;-9.429499;44039;1167;646;449;0.048645033
47.14;9.55;44039;86;81;4;0.000675625
55.1694;23.8813;44039;2019;1620;319;0.054050037
49.8153;6.1296;44039;6321;4825;1384;0.075670052
-18.766947;46.869107;44039;9690;6260;3339;0.061481917
4.210484;101.975766;44039;8904;8601;179;0.083777557
3.2028;73.2207;44039;3369;2547;807;0.010134382
35.9375;14.3754;44039;701;665;27;0.006080629
21.0079;-10.9408;44039;6208;4653;1399;0.105397572
-20.348404;57.552152;44039;344;332;2;0.006756255
23.6345;-102.5528;44039;395489;303810;47657;29.74238401
47.4116;28.3699;44039;23154;16154;6252;0.505367844
43.7333;7.4167;44039;116;104;8;0.002702502
