1.373333;32.290275;64;27;41;52;32;0.4
17.570692;-3.996166;77;20;46;54;9;0.78
41.153332;20.168331;90;20;80;70;61;0.15
28.033886;1.659626;80;35;35;70;26;0.32
23.424076;53.847818;80;38;53;68;23;0.34
-38.416097;-63.616672;49;46;56;86;20;0.62
40.069099;45.038189;85;22;50;88;61;0.15
-25.274398;133.775136;38;90;61;51;21;0.71
47.516231;14.550072;11;55;79;70;60;0.63
40.143105;47.576927;85;22;50;88;61;0.22
23.684994;90.356331;80;20;55;60;47;0.2
53.709807;27.953389;95;25;20;95;81;0.15
50.503887;4.469936;65;75;54;94;82;0.57
43.915886;17.679076;90;22;48;87;70;0.44
-14.235004;-51.92528;69;38;49;76;44;0.59
42.733883;25.48583;70;30;40;85;69;0.16
12.238333;-1.561593;70;15;50;55;27;0.18
56.130366;-106.346771;39;80;52;48;36;0.68
-35.675147;-71.542969;63;23;28;86;31;0.68
35.86166;104.195397;80;20;66;30;87;0.24
4.570868;-74.297333;67;13;64;80;13;0.83
45.1;15.2;73;33;40;80;58;0.33
49.817492;15.472962;57;58;57;74;70;0.29
56.26392;9.501785;18;74;16;23;35;0.7
15.414999;-61.370976;65;30;65;45;13;0.54
26.820553;30.802498;70;25;45;80;7;0.04
13.794185;-88.89653;66;19;40;94;20;0.89
58.595272;25.013607;40;60;30;60;82;0.16
61.92411;25.748151;33;63;26;59;38;0.57
46.227638;2.213749;68;71;43;86;63;0.48
42.315407;43.356892;65;41;55;85;38;0.32
51.165691;10.451526;35;67;66;65;83;0.4
7.946527;-1.023194;80;15;40;65;4;0.72
36.137741;-5.345374;35;89;66;35;51;0.69
39.074208;21.824312;60;35;57;112;45;0.5
22.396428;114.109497;68;25;57;29;61;0.17
47.162494;19.503304;46;80;88;82;58;0.31
64.963051;-19.020835;30;60;10;50;28;0.67
20.593684;78.96288;77;48;56;40;51;0.26
-0.789275;113.921327;78;14;46;48;62;0.38
32.427908;53.688046;58;41;43;59;14;0.4
33.223191;43.679291;95;30;70;85;25;0.17
53.41291;-8.24389;28;70;68;35;24;0.65
41.87194;12.56738;50;76;70;75;61;0.3
36.204824;138.252924;54;46;95;92;88;0.42
30.585164;36.238414;70;30;45;65;16;0.43
35.907757;127.766922;60;18;39;85;100;0.29
56.879635;24.603189;44;70;9;63;69;0.13
55.169438;23.881275;42;60;19;65;82;0.16
49.815273;6.129583;40;60;50;70;64;0.56
41.608635;21.745275;90;22;45;87;62;0.35
4.210484;101.975766;104;26;50;36;41;0.57
35.937496;14.375416;56;59;47;96;47;0.66
23.634501;-102.552784;81;30;69;82;24;0.97
47.411631;28.369885;90;27;39;95;71;0.19
42.708678;19.37439;88;24;48;90;75;0.2
31.791702;-7.09262;70;46;53;68;14;0.25
52.132633;5.291266;38;80;14;53;67;0.68
-40.900557;174.885971;22;79;58;49;33;0.75
9.081999;8.675277;80;30;60;55;13;0.84
60.472024;8.468946;31;69;8;50;35;0.55
30.375321;69.345116;55;14;50;70;50;0
-9.189967;-75.015152;64;16;42;87;25;0.46
12.879721;121.774017;94;32;64;44;27;0.42
51.919438;19.145136;68;60;64;93;38;0.29
39.399872;-8.224454;63;27;31;104;28;0.33
18.220833;-66.590149;68;27;56;38;0;0.9
45.943161;24.96676;90;30;42;90;52;0.2
61.52401;105.318756;93;39;36;95;81;0.2
23.885942;45.079162;95;25;60;80;36;0.52
44.016521;21.005859;86;25;43;92;52;0.28
1.352083;103.819836;74;20;48;8;72;0.46
1.352083;103.819836;104;52;110;51;77;0.28
46.151241;14.995463;71;27;19;88;49;0.48
-30.559482;22.937506;49;65;63;49;34;0.63
40.463667;-3.74922;57;51;42;86;48;0.44
60.128161;18.643501;31;71;5;29;53;0.78
46.818188;8.227512;34;68;70;58;74;0.66
23.69781;120.960515;58;17;45;69;93;0.49
-6.369028;34.888822;70;25;40;50;34;0.38
15.870032;100.992541;64;20;34;64;32;0.45
10.691803;-61.222503;47;16;58;55;13;0.8
38.963745;35.243322;66;37;45;85;46;0.49
37.09024;-95.712891;40;91;62;46;26;0.68
48.379433;31.16558;92;25;27;95;86;0.14
-32.522779;-55.765835;61;36;38;100;26;0.53
6.42375;-66.58973;81;12;73;76;16;1
14.058324;108.277199;70;20;40;30;57;0.35
-13.133897;27.849332;60;35;40;50;30;0.42
